country,source,name,website,location_city,clutch_rating,min_project_size_usd,employees,services,is_wp_specialist
US,clutch.co,,https://clutch.co/methodology#verification,"Raleigh, NC",4.9,75000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=89236&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=89236&position=2&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.chopdawg.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferrall%26utm_campaign%3Dus-web-developers,"Boston, MA",4.8,1000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=122030&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=122030&position=3&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.plego.com%2Fclutch-landing-page%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Chicago, IL",5.0,25000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=68874&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=68874&position=4&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Futility.agency%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Culver City, CA",4.8,50000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=41165&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=41165&position=5&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.3mediaweb.com%2Fdigital-experience%2Fbuild%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Marlborough, MA",4.9,50000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=22527&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=22527&position=6&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.marceldigital.com%2Fcontact%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Chicago, IL",4.8,5000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=95723&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=95723&position=7&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.thegnar.com%2Fweb-development%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Needham, MA",4.8,25000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=21963&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=21963&position=8&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=http%3A%2F%2Fsumatosoft.com%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_content%3Dmain%2520website%26utm_campaign%3DClutch,"Boston, MA",4.8,25000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=307683&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=307683&position=9&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fdedicateddevelopers.com%2Fus%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"Atlanta, GA",5.0,25000,25,[],False
US,clutch.co,,https://r.clutch.co/redirect?analyticsjs=true&category=Web+Developers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=6333&from_page=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&is_sponsor=true&keyword=Web+Developers&link_type=sponsor&location_id=840&no_click=1&page_canonical_id=1006024700000&page_location=https%3A%2F%2Fclutch.co%2Fus%2Fweb-developers&page_number=0&page_type=directory&pid=6333&position=10&source=directory&trace_id=9ccf700fe98295c1&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fthoughtbot.com%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,"New York, NY",4.9,10000,25,[],False
